name,parent_id
"HAVANA",""
"MATANZAS",""
"VARADERO","MATANZAS"
"CIEGO DE AVILA",""
"CAYO GUILLERMO","CIEGO DE AVILA"
"OLD HAVANA","HAVANA"
"VILLA CLARA",""
"SANTA CLARA CITY","VILLA CLARA"
"EASTERN BEACHES","HAVANA"
"GRANMA",""
"SANTIAGO DE CUBA",""
"REMEDIOS","VILLA CLARA"
"CIENAGA DE ZAPATA","MATANZAS"
"HOLGUIN",""
"PLAYA PESQUERO","HOLGUIN"
"CAYO COCO","CIEGO DE AVILA"
"MAYABEQUE",""
"JIBACOA","MAYABEQUE"
"LAS TUNAS",""
"COVARRUBIAS","LAS TUNAS"
"GUARDALAVACA","HOLGUIN"
"CAMAGUEY",""
"SANTA LUCIA","CAMAGUEY"
"PLAYA CHIVIRICO","SANTIAGO DE CUBA"
"SANCTI SPIRITUS",""
"TRINIDAD","SANCTI SPIRITUS"
"LAS TUNAS CITY","LAS TUNAS"
"GUANTANAMO",""
"CAIMANERA","GUANTANAMO"
"CAMAGUEY CITY","CAMAGUEY"
"MATANZAS CITY","MATANZAS"
"VEDADO","HAVANA"
"SANTIAGO DE CUBA CITY","SANTIAGO DE CUBA"
"CIENFUEGOS",""
"PINAR DEL RIO",""
"CAYO LEVISA","PINAR DEL RIO"
"MIRAMAR","HAVANA"
"ISLA DE LA JUVENTUD",""
"CIEGO DE AVILA CITY","CIEGO DE AVILA"
"PARQUE BACONAO","SANTIAGO DE CUBA"
"MAREA DEL PORTILLO","GRANMA"
"HOLGUIN CITY","HOLGUIN"
"BARACOA","GUANTANAMO"
"CORRALILLO","VILLA CLARA"
"CAYO SANTA MARIA","VILLA CLARA"
"FLORIDA TOWN","CAMAGUEY"
"MANZANILLO","GRANMA"
"GUANTANAMO CITY","GUANTANAMO"
"HANABANILLA","VILLA CLARA"
"SANCTI SPIRITUS CITY","SANCTI SPIRITUS"
"CAYO ENSENACHOS","VILLA CLARA"
"CAYO LARGO","ISLA DE LA JUVENTUD"
"TOPES DE COLLANTES","SANCTI SPIRITUS"
"VINALES","PINAR DEL RIO"
"JARDINES DE LA REINA","CIEGO DE AVILA"
"GUANAHACABIBES","PINAR DEL RIO"
"SAN DIEGO","PINAR DEL RIO"
"ARTEMISA",""
"LAS TERRAZAS","ARTEMISA"
"CITY OF MORON","CIEGO DE AVILA"
"GIBARA","HOLGUIN"
"PINAR DEL RIO CITY","PINAR DEL RIO"
"BAYAMO CITY","GRANMA"
"CAYO SAETIA","HOLGUIN"
"SIERRA MAESTRA","SANTIAGO DE CUBA"
"CAYO LAS BRUJAS","VILLA CLARA"
"PINARES DE MAYARI","HOLGUIN"
"YAGUAJAY","SANCTI SPIRITUS"
"SOROA","ARTEMISA"
"PLAYA LARGA","MATANZAS"
"PLAYA GIRON","MATANZAS"
